"NOME_PRINCIPAL","FORMACAO_PRINCIPAL","CAMPUS_PRINCIPAL","LOTACAO","ORIENTADORES_ACADEMICOS","ORIENTANDOS_ACADEMICOS"
"Leonardo Cunha De Miranda","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Fabio Ferrentini Sampaio (Orientador de Mestrado, 2006); Jose Antonio Dos Santos Borges (Orientador de Mestrado, 2006 Co); Maria Cecília Calani Baranauskas (Orientador de Doutorado, 2010); Maria Cecília Calani Baranauskas (Supervisor de Pós-Doutorado, 2011)","Alessandro Luiz Stamatto Ferreira (Orientando de Mestrado 2014); Ana Carla De Carvalho Correia (Orientando de Mestrado 2014); Fábio Andrews Rocha Marques (Orientando de Mestrado 2018); Fábio Phillip Rocha Marques (Orientando de Mestrado 2018); Franklin Matheus Da Costa Lima (Orientando de Mestrado 2024); Gabriel Alves Vasiljevic Mendes (Orientando de Mestrado 2017); Gabriel Alves Vasiljevic Mendes (Orientando de Doutorado 2022); Juvane Nunes Marciano (Orientando de Mestrado 2014); Juvane Nunes Marciano (Orientando de Doutorado 2018); Manoel Pedro De Medeiros Neto (Orientando de Mestrado 2016); Paulo Leonardo Souza Brizolara (Orientando de Mestrado 2022); Samuel Oliveira De Azevedo (Supervisionando de Pós-Doutorado 2017); Sarah Gomes Sakamoto (Orientando de Mestrado 2014)"
"Lyrene Fernandes Da Silva","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Julio Cesar Sampaio Do Prado Leite (Orientador de Doutorado, 2006); Virginia Carvalho Carneiro De Paula (Orientador de Mestrado, 2002)","Ceres Germanna Braga Morais (Orientando de Mestrado 2010); Edir Lucas Icety (Orientando de Mestrado 2020); Joao Epifanio (Orientando de Doutorado 2018); João Manuel Pimentel Seabra (Orientando de Mestrado 2024); Larissa De Alencar Sobral (Orientando de Mestrado 2013); Lidiane Oliveira Dos Santos (Orientando de Mestrado 2012 Co); Maíra De Faria Barros Medeiros Andrade (Orientando de Mestrado 2013); Maira Medeiros (Orientando de Mestrado 2011); Rafael De Morais Pinto (Orientando de Mestrado 2016 Co); Rafael De Morais Pinto (Orientando de Doutorado 2022); Romeu Ferreira De Oliveira (Orientando de Mestrado 2014)"
"Marcel Vinicius Medeiros Oliveira","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Ana Lúcia Caneca Cavalcanti (Orientador de Mestrado, 2002); Ana Lúcia Caneca Cavalcanti (Orientador de Doutorado, 2005); Augusto Cezar Alves Sampaio (Supervisor de Pós-Doutorado, 2012)","Dalay Israel De Almeida Pereira (Orientando de Mestrado 2017); Diego Henrique Oliveira De Souza (Orientando de Mestrado 2011); Fagner Morais Dias (Orientando de Mestrado 2022); Ivan Soares De Medeiros Júnior (Orientando de Mestrado 2012); Luciano Alexandre De Farias Silva (Orientando de Mestrado 2022); Madiel De Sousa Conserva Filho (Orientando de Mestrado 2011); Madiel De Sousa Conserva Filho (Orientando de Doutorado 2016); Nelson Ion De Oliveira (Orientando de Mestrado 2017); Paulo Eneas Rolim Bezerra (Orientando de Mestrado 2023); Samuel Lincoln Magalhaes Barrocas (Orientando de Mestrado 2011); Samuel Lincoln Magalhaes Barrocas (Orientando de Doutorado 2018); Sarah Raquel Da Rocha Silva (Orientando de Mestrado 2013)"
"Marcia Jacyntha Nunes Rodrigues Lucena","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Carla Taciana Lima Lourenco Silva Schuenemann (Orientador de Doutorado, 2010 Co); Jaelson Freire Brelaz De Castro (Orientador de Doutorado, 2010)","Aline De Oliveira Prata Jaqueira (Orientando de Mestrado 2013); Eltoni Alves Guimarães (Orientando de Mestrado 2022); Erica Esteves Cunha De Miranda (Orientando de Doutorado 2021); Eriton De Barros Farias (Orientando de Mestrado 2018); Fábio Alexandre Gonçalves Silva (Orientando de Mestrado 2013); Fábio Fernandes Penha (Orientando de Mestrado 2017); Gabriela Oliveira Da Trindade (Orientando de Mestrado 2018); Ilueny Constâncio Chaves Dos Santos (Orientando de Mestrado 2016); Ivanosca Andrade Da Silva (Orientando de Mestrado 2001 Co); João Carlos Epifânio Da Silva (Orientando de Mestrado 2018); Kleber Tavares Fernandes (Orientando de Mestrado 2014); Kleber Tavares Fernandes (Orientando de Doutorado 2021 Co); Luana Talita Mateus De Souza (Orientando de Mestrado 2019); Luana Talita Mateus De Souza (Orientando de Doutorado 2024); Rafael De Morais Pinto (Orientando de Mestrado 2016); Rafael Jullian Oliveira Do Nascimento (Orientando de Doutorado 2023); Ramon Williams Siqueira Fonseca (Orientando de Mestrado 2022); Renato Mesquita Soares (Orientando de Mestrado 2020); Robson Paulo Da Silva (Orientando de Mestrado 2016); Sara Guimaraes Negreiros (Orientando de Mestrado 2024 Co)"
"Márcio Eduardo Kreutz","Ciências Exatas e da Terra / Ciência Da Computação","Universität Oldenburg&Technische Universität Dresden","DIMAP","Altamiro Amadeu Susin (Orientador de Mestrado, 1997; Orientador de Doutorado, 2005)","Anderson Egberto Cavalcante Salles (Orientando de Mestrado 2021); Aparecida Lopes De Medeiros Lima (Orientando de Mestrado 2014); Christiane De Araújo Nobre (Orientando de Mestrado 2012); Dênis Freire Lopes Nunes (Orientando de Doutorado 2021); Hadley Magno Da Costa Siqueira (Orientando de Mestrado 2015, Orientando de Doutorado 2020); Jefferson Igor Duarte Silva (Orientando de Mestrado 2018); Jonathan Wanderley De Mesquita (Orientando de Mestrado 2016); Max Miller Da Silveira (Orientando de Mestrado 2013); Paulo Eugênio Da Costa Filho (Orientando de Mestrado 2024); Samuel Da Silva Oliveira (Orientando de Mestrado 2018, Orientando de Doutorado 2023 Co)"
"Marcos Cesar Madruga Alves Pinheiro","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Guido Lemos De Souza Filho (Orientador de Mestrado, 2001); Luiz Affonso Henderson Guedes De Oliveira (Orientador de Doutorado, 2006 Co); Thais Vasconcelos Batista (Orientadora de Mestrado, 2001 Co; Orientadora de Doutorado, 2006)","Dhiego Fernandes Carvalho (Orientando de Mestrado 2014); Leonardo Dantas De Oliveira (Orientando de Mestrado 2014)"
"Martin Alejandro Musicante","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Rafael Dueire Lins (Orientador de Mestrado, 1990); Silvio Romero De Lemos Meira (Orientador de Doutorado, 1996)","Andre Murbach Maidl (Orientando de Mestrado 2007); Ciro Morais Medeiros (Orientando de Mestrado 2018, Orientando de Doutorado 2022); Claudio Ricardo Vieira Carvilhe (Orientando de Mestrado 2002); Daniel Aguiar Da Silva Oliveira Carvalho (Orientando de Mestrado 2013); Diógenes Cogo Furlan (Orientando de Mestrado 2000); Edinardo Potrich (Orientando de Mestrado 2006); Emerson Faria Nobre (Orientando de Mestrado 2001 Co); Evando Carlos Pessini (Orientando de Doutorado 2014); Fabio De Souza Leal (Orientando de Mestrado 2016); Handerson Bezerra Medeiros (Orientando de Mestrado 2013); Henrique Denes Hilgenberg Fernandes (Orientando de Mestrado 2001); Jaylson Teixeira (Orientando de Mestrado 2000); João Batista De Souza Neto (Orientando de Doutorado 2020); Josiane Michalak Hauagge Dall Agnol (Orientando de Mestrado 2000); Julio Cesar Teodoro Da Silva (Orientando de Mestrado 2007 Co); Marcelo Araújo (Orientando de Mestrado 2004); Marcelo Guerra (Orientando de Mestrado 2010); Márcio Alves De Macêdo (Orientando de Mestrado 2015); Marcos Aurélio Carrero (Orientando de Mestrado 2006); Plácido Antonio De Souza Neto (Orientando de Doutorado 2012); Roberta Cynthia Barbosa De Freitas (Orientando de Mestrado 2020); Robson Joao Padilha Da Luz (Orientando de Mestrado 2007); Sandra Mara Guse Scós Venske (Orientando de Mestrado 2004); Simone Nasser Matos (Orientando de Mestrado 2001); Simone Nasser Matos Ferreira (Orientando de Mestrado 2001)"
"Matheus Da Silva Menezes","Ciências Exatas e da Terra / Matemática","Universidade Federal Do Rio Grande Do Norte","DIMAP","Marco Cesar Goldbarg (Orientador de Doutorado, 2014); Roberto Quirino Do Nascimento (Orientador de Mestrado, 2006)","Francisco David Kelliton Alves Cruz (Orientando de Mestrado 2024); Julia Madalena Miranda Campos (Orientando de Doutorado 2023 Co); Quezia Emanuelly De Oliveira Souza (Orientando de Mestrado 2022 Co); Ranmsés Emanuel Martins Bastos (Orientando de Doutorado 2023 Co)"
"Monica Magalhães Pereira","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Ivan Saraiva Silva (Orientador de Mestrado, 2008); Luigi Carro (Orientador de Doutorado, 2012)","Alba Sandyra Bezerra Lopes Campos (Orientando de Doutorado 2021); Eliselma Vieira Dos Santos (Orientando de Mestrado 2015); Elisio Breno Garcia Cardoso (Orientando de Mestrado 2021); Hiago Mayk Gomes De Araújo Rocha (Orientando de Mestrado 2019); Lavinia Medeiros Miranda (Orientando de Mestrado 2022); Luana Pereira Barreto (Orientando de Mestrado 2016); Marcos Oliveira Da Cruz (Orientando de Mestrado 2015); Maria Fernanda Cabral Ribeiro (Orientando de Mestrado 2024)"
"Nelio Alessandro Azevedo Cacho","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Alessandro Fabricio Garcia (Orientador de Doutorado, 2009); Thais Vasconcelos Batista (Orientadora de Mestrado, 2006)","Adelson Dias De Araújo Júnior (Orientando de Mestrado 2019); Alison Hedigliranes Da Silva (Orientando de Mestrado 2024); Arthur Emanoel Cássio Da Silva E Souza (Orientando de Mestrado 2015, Orientando de Doutorado 2022); Eliezio Soares De Sousa Neto (Orientando de Mestrado 2014); Everton Tavares Guimaraes (Orientando de Mestrado 2010 Co); Fernando Castor (Orientando de Mestrado 2010 Co); Frederico Nunes Do Pranto Filho (Orientando de Mestrado 2016); Gabriel Araujo De Souza (Orientando de Mestrado 2023); Israel Barbosa Garcia (Orientando de Mestrado 2013); José Alex Medeiros De Lima (Orientando de Mestrado 2015); Jose Lucas Santos Ribeiro (Orientando de Mestrado 2020); Juliana De Araújo Oliveira (Orientando de Mestrado 2015, Orientando de Doutorado 2021); Larysse Savanna (Orientando de Mestrado 2020); Leandro Silva Monteiro De Oliveira (Orientando de Mestrado 2021 Co); Matheus Alves De Sousa (Orientando de Mestrado 2009 Co); Mickael Raninson Carneiro Figueredo (Orientando de Mestrado 2019); Ramiro De Vasconcelos Dos Santos Júnior (Orientando de Doutorado 2024); Stefano Momo Loss (Orientando de Mestrado 2019); Thomas Filipe Da Silva Diniz (Orientando de Mestrado 2016)"
"Rafael Beserra Gomes","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Bruno Motta De Carvalho (Orientador de Mestrado, 2009 Co; Orientador de Doutorado, 2013 Co); Luiz Marcos Garcia Goncalves (Orientador de Mestrado, 2009; Orientador de Doutorado, 2013)","Fabio Fonseca De Oliveira (Orientando de Mestrado 2017); Fellipe Matheus Costa Barbosa (Orientando de Mestrado 2020 Co); Petrúcio Ricardo Tavares De Medeiros (Orientando de Mestrado 2016, Orientando de Doutorado 2020)"
"Ranniery Da Silva Maia","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DIMAP","Fernando Gil Vianna Resende Junior (Orientador de Mestrado, 2000 Co; Orientador de Doutorado, 2005 Co); Keiichi Tokuda (Orientador de Doutorado, 2006); Rui Seara (Supervisor de Pós-Doutorado, 2020); Sergio Lima Netto (Orientador de Mestrado, 2000)",""
"Regivan Hugo Nunes Santiago","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Benedito Melo Acióly (Orientador de Mestrado, 1995; Orientador de Doutorado, 1999; Supervisor de Pós-Doutorado, 2011)","Adriano Xavier Carvalho (Orientando de Mestrado 2005); Alexsandra Oliveira Andrade (Orientando de Doutorado 2014 Co); Anderson Paiva Cruz (Orientando de Mestrado 2008, Orientando de Doutorado 2012); Antônia Jocivania Pinheiro (Orientando de Doutorado 2019); Antonio Diego Silva Farias (Orientando de Doutorado 2018); Emmanuelly Monteiro Silva De Sousa (Orientando de Mestrado 2015, Orientando de Doutorado 2020); Fabiana Tristão De Santana (Orientando de Doutorado 2011); Fágner Lemos De Santana (Orientando de Doutorado 2012); Fernando Neres De Oliveira (Orientando de Doutorado 2023); Flaulles Boone Bergamaschi (Orientando de Doutorado 2015, Orientando de Pós-doutorado 2020); Ivan Mezzomo (Orientando de Doutorado 2013 Co); José Frank Viana Da Silva (Orientando de Mestrado 2006 Co); José Medeiros Dos Santos (Orientando de Mestrado 2001); Juscelino Pereira De Araújo (Orientando de Doutorado 2025); Katiane Ribeiro Lopes (Orientando de Mestrado 2004); Liliane Ribeiro Da Silva (Orientando de Doutorado 2015); Marcia Maria De Castro Cruz (Orientando de Mestrado 2000, Orientando de Doutorado 2008 Co); Marciano Lourenço Da Silva Gonçalves (Orientando de Mestrado 2012); Maria José Lima Dos Santos (Orientando de Mestrado 2002 Co); Rui Eduardo Brasileiro Paiva (Orientando de Doutorado 2019); Suene Campos Duarte (Orientando de Doutorado 2022); Valdigleis Da Silva Costa (Orientando de Doutorado 2020 Co)"
"Roberta De Souza Coelho","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Arndt Von Staa (Orientador de Doutorado, 2008); Silvio Romero De Lemos Meira (Orientador de Mestrado, 2002)","Alexandre Strapacao Guedes Vianna (Orientando de Mestrado 2012 Co); Carlos Antônio De Oliveira Neto (Orientando de Mestrado 2019); Carlos Breno Pereira Silva (Orientando de Mestrado 2012 Co); Demóstenes Santos De Sena (Orientando de Doutorado 2017); Eduardo Henrique Rocha Do Nascimento (Orientando de Mestrado 2019); Francisco Diogo Oliveira De Queiroz (Orientando de Mestrado 2016); Heitor Mariano De Aquino Câmara (Orientando de Mestrado 2011 Co); Hugo Faria Melo (Orientando de Mestrado 2012, Orientando de Doutorado 2019); João Maria Guedes Da Cruz Júnior (Orientando de Mestrado 2014 Co); Joilson Vidal Abrantes (Orientando de Mestrado 2016); Leandro Dias Beserra (Orientando de Mestrado 2019); Lucas Mariano Galdino De Almeida (Orientando de Mestrado 2018); Lucas Rodrigues Silva (Orientando de Mestrado 2021); Marcio David De Magalhaes Santos (Orientando de Mestrado 2010 Co); Ricardo Jose Sales Junior (Orientando de Mestrado 2013); Sara Guimarães Negreiros (Orientando de Mestrado 2024); Taiza Montenegro (Orientando de Mestrado 2017); Teresa Do Carmo Barreto Fernandes (Orientando de Mestrado 2017); Vicente Pires Lustosa Neto (Orientando de Mestrado 2013)"
"Selan Rodrigues Dos Santos","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Ken Brodlie (Orientador de Doutorado, 2004); Marcelo De Andrade Dreux (Orientador de Mestrado, 1996)","Alyson Matheus De Carvalho Souza (Orientando de Mestrado 2014); Daniel Soares Brandão (Orientando de Mestrado 2014); Edson Alyppyo Gomes Coutinho (Orientando de Mestrado 2012, Orientando de Doutorado 2024 Co); Italo Mendes Da Silva Ribeiro (Orientando de Mestrado 2011, Orientando de Doutorado 2014); Luciane Machado Fraga (Orientando de Doutorado 2014); Matheus Abrantes Gadelha (Orientando de Mestrado 2012); Philip Michel Duarte (Orientando de Mestrado 2011); Waldson Patricio Do Nascimento Leandro (Orientando de Mestrado 2013, Orientando de Doutorado 2019 Co)"
"Sílvia Maria Diniz Monteiro Maia","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Elizabeth Ferreira Gouvêa (Orientadora de Doutorado, 2013); Marco Cesar Goldbarg (Orientador de Mestrado, 2011)","Hiago Mayk Gomes De Araújo Rocha (Orientando de Mestrado 2019 Co); Lucas Daniel Monteiro Dos Santos Pinheiro (Orientando de Mestrado 2016 Co); Luis Tertulino Da Cunha Neto (Orientando de Mestrado 2021); Sidemar Fideles Cezario (Orientando de Mestrado 2019 Co); Thiago Soares Marques (Orientando de Mestrado 2019 Co)"
"Thais Vasconcelos Batista","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Luiz Fernando Gomes Soares (Orientador de Mestrado, 1994); Noemi De La Rocque Rodriguez (Orientadora de Doutorado, 2000)","Altair Brandao Mendes (Orientando de Mestrado 2018); Aluizio Ferreira Da Rocha Neto (Orientando de Doutorado 2021); Ana Luisa Ferreira De Medeiros (Orientando de Mestrado 2008, Orientando de Doutorado 2012); André Gustavo Duarte De Almeida (Orientando de Mestrado 2008, Orientando de Doutorado 2015); André Luiz Da Silva Solino (Orientando de Doutorado 2023); Arthur Emanoel Cássio Da Silva E Souza (Orientando de Mestrado 2015 Co); Bartira Paraguaçu Falcão Dantas Rocha (Orientando de Doutorado 2020); Caio Sérgio De Vasconcelos Batista (Orientando de Mestrado 2004, Orientando de Doutorado 2014); Camila De Araújo (Orientando de Doutorado 2023); Carlos Alberto Nunes Machado (Orientando de Doutorado 2015); César Augusto Perdigão Batista (Orientando de Mestrado 2019); Douglas Arthur De Abreu Rolim (Orientando de Mestrado 2020); Eduardo Alexandre Ferreira Silva (Orientando de Mestrado 2015, Orientando de Doutorado 2018); Everton Ranielly De Sousa Cavalcante (Orientando de Mestrado 2012, Orientando de Doutorado 2016); Everton Tavares Guimaraes (Orientando de Mestrado 2010); Fabrício De Alexandria Fernandes (Orientando de Mestrado 2004); Felipe Morais Da Silva (Orientando de Mestrado 2024); Frederico Araújo Da Silva Lopes (Orientando de Mestrado 2008, Orientando de Doutorado 2011); Gustavo Nogueira Alves (Orientando de Mestrado 2014); Joao Gabriel Quaresma De Almeida (Orientando de Mestrado 2021); João Victor Lopes Da Silva (Orientando de Mestrado 2022); Jorge Pereira Da Silva (Orientando de Mestrado 2017, Orientando de Doutorado 2021); José Diego Saraiva Da Silva (Orientando de Mestrado 2009); Jose Neilton Dias De Morais (Orientando de Mestrado 2003); Keivilany Janielle De Lima Coelho (Orientando de Mestrado 2012); Larysse Savanna Izidio Da Silva (Orientando de Mestrado 2020 Co); Lidiane Oliveira Dos Santos (Orientando de Mestrado 2012, Orientando de Doutorado 2020); Lucas Cristiano Calixto Dantas (Orientando de Mestrado 2020); Lucas Silva Pereira (Orientando de Mestrado 2010); Marcos Cesar Madruga Alves Pinheiro (Orientando de Mestrado 2001 Co, Orientando de Doutorado 2006); Matheus Alves De Sousa (Orientando de Mestrado 2010); Nelio Alessandro Azevedo Cacho (Orientando de Mestrado 2006); Pedro Petrovitch Caetano Maia (Orientando de Mestrado 2011); Pedro Victor Borges Caldas Da Silva (Orientando de Mestrado 2020 Co, Orientando de Doutorado 2022 Co); Porfírio Dantas Gomes (Orientando de Mestrado 2016); Priscilla Victor Dantas (Orientando de Mestrado 2012 Co); Rommel Wladimir De Lima (Orientando de Mestrado 2003); Samuel De Medeiros Queiroz (Orientando de Mestrado 2018); Stéphany Moraes Martins (Orientando de Mestrado 2003); Taniro Chacon Rodrigues (Orientando de Doutorado 2015); Tássia Aparecida Vieira De Freitas (Orientando de Mestrado 2009); Thiago Pereira Da Silva (Orientando de Mestrado 2012, Orientando de Doutorado 2023); Vagner Jose Do Sacramento Rodrigues (Orientando de Mestrado 2002); Vagner Sacramento (Orientando de Mestrado 2002)"
"Uira Kulesza","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Carlos José Pereira De Lucena (Orientador de Doutorado, 2007); Dilma Menezes Da Silva (Orientadora de Mestrado, 2000)","Adorilson Bezerra De Araújo (Orientando de Mestrado 2017); Alexandre Strapacao Guedes Vianna (Orientando de Mestrado 2012); Andre Luis Sequeira De Sousa (Orientando de Mestrado 2008 Co); Camila Patricia Bazilio Nunes (Orientando de Mestrado 2009 Co); Christoph Treude (Orientando de Pós-doutorado 2015); Daniel Alencar Da Costa (Orientando de Mestrado 2013, Orientando de Doutorado 2017); Danielle Gomes De Freitas Medeiros (Orientando de Mestrado 2011); Demóstenes Santos De Sena (Orientando de Doutorado 2017 Co); Dhiego Abrantes De Oliveira Martins (Orientando de Mestrado 2013 Co); Edmilson Barbalho Campos Neto (Orientando de Mestrado 2013, Orientando de Doutorado 2018); Elder José Reioli Cirilo (Orientando de Mestrado 2008 Co, Orientando de Pós-doutorado 2023); Eliezio Soares De Sousa Neto (Orientando de Doutorado 2023); Erick Sharlls Ramos De Pontes (Orientando de Mestrado 2017); Felipe Alves Pereira Pinto (Orientando de Doutorado 2015); Fellipe Araújo Aleixo (Orientando de Doutorado 2013); Fladson Thiago Oliveira Gomes (Orientando de Mestrado 2016); Geam Carlos De Araújo Filgueira (Orientando de Mestrado 2009); Gleydson De Azevedo Ferreira Lima (Orientando de Doutorado 2014 Co); Guilherme Dutra Diniz De Freitas (Orientando de Mestrado 2020); Gustavo Sizílio Nery (Orientando de Mestrado 2015 Co, Orientando de Doutorado 2020); Heitor Mariano De Aquino Câmara (Orientando de Mestrado 2011); Henrique Andre Barbosa Bittencourt Dutra (Orientando de Mestrado 2017 Co); Hugo Faria Melo (Orientando de Mestrado 2012 Co); Ingrid Oliveira De Nunes (Orientando de Mestrado 2009 Co); Jackson Meires Dantas Canuto (Orientando de Mestrado 2018 Co); Jadson Jose Dos Santos (Orientando de Mestrado 2015, Orientando de Doutorado 2024); Jalerson Raposo Ferreira De Lima (Orientando de Mestrado 2014); João Helis Junior De Azevedo Bernardo (Orientando de Mestrado 2017); João Maria Guedes Da Cruz Júnior (Orientando de Mestrado 2014); Joao Victor De Oliveira Neto (Orientando de Mestrado 2017 Co); Jose Carrera Alvares Neto (Orientando de Mestrado 2009); José Diego Saraiva Da Silva (Orientando de Doutorado 2023); José Gameleira Do Rêgo Neto (Orientando de Mestrado 2021); José Pergentino De Araújo Neto (Orientando de Mestrado 2009); Julio Cesar Leoncio Da Silva (Orientando de Mestrado 2016); Klessis Lopes Dias (Orientando de Mestrado 2008 Co); Leo Moreira Silva (Orientando de Mestrado 2017); Marcelo Rômulo Fernandes (Orientando de Doutorado 2023); Marcos Alexandre De Melo Medeiros (Orientando de Mestrado 2020); Marilia Aranha Freire (Orientando de Doutorado 2014); Mario Sergio Scaramuzzini Torres (Orientando de Mestrado 2011); Miguel De Oliveira Ataide (Orientando de Mestrado 2024); Rodrigo Rebouças De Almeida (Orientando de Doutorado 2022); Samuel Lucas De Moura Ferino (Orientando de Mestrado 2023); Thiago David Dos Santos Marinho (Orientando de Mestrado 2016); Thiago De Farias Costa (Orientando de Mestrado 2009); Victor Hugo Freire Ramalho (Orientando de Mestrado 2024); Wanderson Câmara Dos Santos (Orientando de Mestrado 2011)"
"Umberto Souza Da Costa","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Anamaria Martins Moreira (Orientadora de Mestrado, 2001); Sergio Vale Aguiar Campos (Orientador de Doutorado, 2005)","Ciro Morais Medeiros (Orientando de Mestrado 2018 Co); Denis José Sousa De Albuquerque (Orientando de Mestrado 2019); Fred De Castro Santos (Orientando de Mestrado 2018); José Sueney De Lima (Orientando de Mestrado 2014); Rafael Ferreira Toledo (Orientando de Mestrado 2018); Sidney Soares Marcelino (Orientando de Mestrado 2013)"
"Valdigleis Da Silva Costa","Ciências Exatas e da Terra / Ciência Da Computação","Universidade Federal Do Rio Grande Do Norte","DIMAP","Benjamín René Callejas Bedregal (Orientador de Mestrado, 2016; Orientador de Doutorado, 2020); Regivan Hugo Nunes Santiago (Orientador de Doutorado, 2020 Co)",""
"Adelardo Adelino Dantas De Medeiros","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Elder Moreira Hemerly (Orientador de Mestrado, 1991); Raja Chatila (Orientador de Doutorado, 1997)","Allan Aminadab André Freire Soares (Orientando de Mestrado 2004 Co); Anderson Abner De Santana Souza (Orientando de Mestrado 2008 Co); Andre Macedo Santana (Orientando de Mestrado 2007, Orientando de Doutorado 2011); Andre Tavares Da Silva (Orientando de Mestrado 2014); Anfranserai Morais Dias (Orientando de Mestrado 2002 Co); Clauber Gomes Bezerra (Orientando de Mestrado 2004 Co); Daniel Silva De Morais (Orientando de Mestrado 2024 Co); Diogo Pinheiro Fernandes Pedrosa (Orientando de Mestrado 2001, Orientando de Doutorado 2006); Ellon Paiva Mendes (Orientando de Mestrado 2011); Filipe Campos De Alcantara Lins (Orientando de Mestrado 2010, Orientando de Doutorado 2023 Co); Frederico Carvalho Vieira (Orientando de Mestrado 2005); Gutemberg Santos Santiago (Orientando de Mestrado 2008); João Paulo Ferreira Guimarães (Orientando de Mestrado 2012); Kaiser Magalde C Magalhaes (Orientando de Mestrado 2003); Kelson Romulo Teixeira Aires (Orientando de Mestrado 2001 Co, Orientando de Doutorado 2009); Lennedy Campos Soares (Orientando de Mestrado 2010); Luiz Henrique Rodrigues Da Silva (Orientando de Mestrado 2013); Marcelo Borges Nogueira (Orientando de Mestrado 2005); Marcelo Minicuci Yamamoto (Orientando de Mestrado 2005); Patricia Nishimura Guerra (Orientando de Mestrado 2005 Co); Ricardo De Sousa Britto (Orientando de Mestrado 2007); Ricardo Wagner De Araujo (Orientando de Doutorado 2005); Rodrigo Barbosa De Souza (Orientando de Mestrado 2003); Rodrigo Pereira Bandeira (Orientando de Mestrado 2002); Vitor Meneghetti Ugulino De Araujo (Orientando de Mestrado 2011)"
"Agostinho De Medeiros Brito Junior","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Adrião Duarte Dória Neto (Orientador de Doutorado, 2005); Clesio Luis Tozzi (Orientador de Mestrado, 1996); Jorge Dantas De Melo (Orientador de Doutorado, 2005 Co)","Adelson Luiz De Lima (Orientando de Mestrado 2012); Aguinaldo Bezerra Batista Júnior (Orientando de Mestrado 2009 Co); João Paulo De Souza Medeiros (Orientando de Mestrado 2009)"
"Anderson Luiz De Oliveira Cavalcanti","Engenharias / Engenharia Elétrica","Universidade Federal Do Rio Grande Do Norte","DCA","Adhemar De Barros Fontes (Orientador de Mestrado, 2003 Co; Orientador de Doutorado, 2008 Co); André Laurindo Maitelli (Orientador de Mestrado, 2003; Orientador de Doutorado, 2008); Karl Heinz Kienitz (Supervisor de Pós-Doutorado, 2017)","Alessandro José De Souza (Orientando de Doutorado 2016); Fernando Hilton Teixeira Ferreira (Orientando de Mestrado 2010); Humberto Araujo Da Silva (Orientando de Mestrado 2010); João Teixeira De Carvalho Neto (Orientando de Mestrado 2012); José Soares Batista Lopes (Orientando de Mestrado 2011)"
